region,date,between_0_and_4_kw,between_4_and_10_kw,between_10_and_50_kw,50_kw_<=_to_<_5_mw,between_5_and_25_mw,greater_than_25_mw,total
GB,2010-01-01,8.021,2.639,2.433,1.133,0.0,0.0,14.225999999999999
GB,2010-02-01,9.153,2.827,2.529,1.133,0.0,0.0,15.642
GB,2010-03-01,11.038,3.103,2.862,1.133,0.0,0.0,18.136
GB,2010-04-01,13.255,3.286,3.107,1.133,0.0,0.0,20.781
GB,2010-05-01,16.698,3.618,3.462,1.301,0.0,0.0,25.078999999999997
GB,2010-06-01,20.916,3.992,3.683,2.101,0.0,0.0,30.692
GB,2010-07-01,26.105,4.394,3.818,2.251,0.0,0.0,36.568
GB,2010-08-01,31.255,4.782,4.101,2.251,0.0,0.0,42.388999999999996
GB,2010-09-01,37.921,5.189,4.55,2.251,0.0,0.0,49.910999999999994
GB,2010-10-01,45.965,5.763,4.92,2.699,0.0,0.0,59.347
GB,2010-11-01,55.264,6.362,5.413,2.75,0.0,0.0,69.789
GB,2010-12-01,62.441,6.78,5.662,2.897,0.0,0.0,77.78000000000002
GB,2011-01-01,72.282,7.592,6.217,2.897,0.0,0.0,88.988
GB,2011-02-01,83.525,8.472,7.042,3.421,0.0,0.0,102.46000000000001
GB,2011-03-01,100.415,9.84,7.873,4.238,0.0,0.0,122.36600000000001
GB,2011-04-01,116.246,11.526,8.881,10.139,0.0,0.0,146.792
GB,2011-05-01,135.05,13.48,10.105,11.798,0.0,0.0,170.433
GB,2011-06-01,159.839,15.819,11.478,17.247,0.0,0.0,204.38299999999998
GB,2011-07-01,188.624,19.02,14.74,139.826,0.0,0.0,362.21000000000004
GB,2011-08-01,225.017,24.344,18.002,140.781,0.0,0.0,408.144
GB,2011-09-01,269.74,31.628,22.283,156.404,0.0,0.0,480.055
GB,2011-10-01,321.173,40.993,26.595,212.831,0.0,0.0,601.592
GB,2011-11-01,465.851,70.279,49.495,214.464,0.0,0.0,800.0889999999999
GB,2011-12-01,578.457,96.072,96.29,222.828,0.0,0.0,993.6469999999999
GB,2012-01-01,599.39,98.25,97.43,222.987,6.0,0.0,1024.0569999999998
GB,2012-02-01,705.989,125.134,134.605,226.871,6.0,0.0,1198.5990000000002
GB,2012-03-01,771.011,135.233,160.904,237.549,6.0,0.0,1310.697
GB,2012-04-01,783.868,137.209,162.559,238.362,6.0,0.0,1327.998
GB,2012-05-01,807.893,143.863,166.95,239.484,6.0,0.0,1364.19
GB,2012-06-01,837.667,153.962,176.238,255.549,6.0,0.0,1429.416
