region,date,between_0_and_4_kw,between_4_and_10_kw,between_10_and_50_kw,50_kw_<=_to_<_5_mw,between_5_and_25_mw,greater_than_25_mw,total
NI,2010-01-01,0.316,0.513,0.217,0.0,0.0,0.0,1.046
NI,2010-02-01,0.316,0.513,0.217,0.0,0.0,0.0,1.046
NI,2010-03-01,0.323,0.513,0.25,0.0,0.0,0.0,1.086
NI,2010-04-01,0.336,0.513,0.25,0.0,0.0,0.0,1.099
NI,2010-05-01,0.342,0.513,0.25,0.0,0.0,0.0,1.105
NI,2010-06-01,0.358,0.513,0.262,0.0,0.0,0.0,1.133
NI,2010-07-01,0.362,0.513,0.277,0.0,0.0,0.0,1.1520000000000001
NI,2010-08-01,0.365,0.513,0.277,0.0,0.0,0.0,1.155
NI,2010-09-01,0.366,0.513,0.277,0.0,0.0,0.0,1.1560000000000001
NI,2010-10-01,0.371,0.519,0.277,0.0,0.0,0.0,1.167
NI,2010-11-01,0.39,0.519,0.277,0.0,0.0,0.0,1.186
NI,2010-12-01,0.397,0.524,0.277,0.0,0.0,0.0,1.198
NI,2011-01-01,0.397,0.524,0.277,0.0,0.0,0.0,1.198
NI,2011-02-01,0.399,0.531,0.277,0.0,0.0,0.0,1.207
NI,2011-03-01,0.408,0.536,0.277,0.0,0.0,0.0,1.221
NI,2011-04-01,0.412,0.541,0.277,0.0,0.0,0.0,1.23
NI,2011-05-01,0.437,0.569,0.277,0.0,0.0,0.0,1.283
NI,2011-06-01,0.442,0.607,0.277,0.0,0.0,0.0,1.326
NI,2011-07-01,0.445,0.621,0.277,0.0,0.0,0.0,1.343
NI,2011-08-01,0.462,0.637,0.277,0.0,0.0,0.0,1.376
NI,2011-09-01,0.498,0.651,0.277,0.0,0.0,0.0,1.4260000000000002
NI,2011-10-01,0.537,0.702,0.297,0.0,0.0,0.0,1.5359999999999998
NI,2011-11-01,0.596,0.76,0.297,0.0,0.0,0.0,1.6529999999999998
NI,2011-12-01,0.654,0.862,0.307,0.0,0.0,0.0,1.823
NI,2012-01-01,0.727,0.973,0.307,0.0,0.0,0.0,2.007
NI,2012-02-01,0.744,0.999,0.348,0.0,0.0,0.0,2.0909999999999997
NI,2012-03-01,0.807,1.031,0.388,0.0,0.0,0.0,2.226
NI,2012-04-01,0.836,1.074,0.408,0.0,0.0,0.0,2.318
NI,2012-05-01,0.858,1.132,0.408,0.0,0.0,0.0,2.3979999999999997
NI,2012-06-01,0.878,1.158,0.408,0.0,0.0,0.0,2.444
NI,2012-07-01,0.909,1.229,0.408,0.0,0.0,0.0,2.546
NI,2012-08-01,1.047,1.454,0.491,0.0,0.0,0.0,2.992
NI,2012-09-01,1.192,1.707,0.542,0.0,0.0,0.0,3.441
NI,2012-10-01,1.338,2.186,0.673,0.05,0.0,0.0,4.247
NI,2012-11-01,1.474,2.681,0.893,0.255,0.0,0.0,5.303
NI,2012-12-01,1.568,3.121,0.986,0.255,0.0,0.0,5.93
NI,2013-01-01,1.758,3.669,1.125,0.255,0.0,0.0,6.8069999999999995
NI,2013-02-01,1.912,4.146,1.2,0.255,0.0,0.0,7.513
NI,2013-03-01,2.051,4.815,1.33,0.255,0.0,0.0,8.451000000000002
NI,2013-04-01,2.154,5.45,1.409,0.255,0.0,0.0,9.268
NI,2013-05-01,2.316,6.229,1.735,0.255,0.0,0.0,10.535
NI,2013-06-01,2.398,6.969,2.152,0.255,0.0,0.0,11.774000000000003
NI,2013-07-01,2.602,8.144,2.544,0.255,0.0,0.0,13.545000000000002
NI,2013-08-01,2.893,9.783,3.348,0.255,0.0,0.0,16.278999999999996
NI,2013-09-01,3.178,11.89,3.756,0.255,0.0,0.0,19.079
NI,2013-10-01,3.49,13.694,4.263,0.255,0.0,0.0,21.702
NI,2013-11-01,3.732,15.805,5.141,0.455,0.0,0.0,25.132999999999996
NI,2013-12-01,3.993,17.353,5.805,0.455,0.0,0.0,27.605999999999998
NI,2014-01-01,4.181,19.427,6.949,0.605,0.0,0.0,31.162000000000003
NI,2014-02-01,4.406,25.596,10.959,0.855,0.0,0.0,41.815999999999995
NI,2014-03-01,4.72,26.675,11.295,1.005,0.0,0.0,43.695
NI,2014-04-01,5.013,27.686,11.76,1.005,0.0,0.0,45.464
NI,2014-05-01,5.459,28.856,12.656,1.398,0.0,0.0,48.369
NI,2014-06-01,6.007,30.077,13.216,1.648,0.0,0.0,50.94800000000001
NI,2014-07-01,6.607,31.099,13.746,2.266,0.0,0.0,53.718
NI,2014-08-01,7.198,32.238,14.12,2.366,0.0,0.0,55.922
NI,2014-09-01,7.824,33.602,14.744,2.416,0.0,0.0,58.58599999999999
NI,2014-10-01,8.391,34.973,15.169,2.616,0.0,0.0,61.149
NI,2014-11-01,8.989,36.172,15.662,2.666,0.0,0.0,63.489
NI,2014-12-01,9.421,37.15,16.147,4.124,0.0,0.0,66.842
NI,2015-01-01,9.836,38.068,16.981,4.374,0.0,0.0,69.25899999999999
NI,2015-02-01,10.257,39.154,18.205,4.374,0.0,0.0,71.99
NI,2015-03-01,10.647,40.268,20.013,4.724,0.0,0.0,75.652
NI,2015-04-01,11.041,41.367,21.024,4.874,0.0,0.0,78.306
NI,2015-05-01,11.557,42.468,21.793,8.807,0.0,0.0,84.62500000000001
NI,2015-06-01,12.1,43.582,22.95,8.957,0.0,0.0,87.589
NI,2015-07-01,12.648,44.699,23.697,9.157,0.0,0.0,90.201
NI,2015-08-01,13.362,46.608,25.457,9.857,0.0,0.0,95.28399999999999
NI,2015-09-01,14.594,50.621,31.258,10.607,0.0,0.0,107.08
NI,2015-10-01,15.196,51.173,31.553,10.757,0.0,0.0,108.679
NI,2015-11-01,15.941,51.739,31.758,10.757,0.0,0.0,110.195
NI,2015-12-01,16.712,52.182,31.937,10.907,0.0,0.0,111.738
NI,2016-01-01,17.59,52.679,32.162,10.907,0.0,0.0,113.33800000000001
NI,2016-02-01,18.434,53.105,32.356,11.037,0.0,0.0,114.93200000000002
NI,2016-03-01,19.351,53.647,32.69,11.037,0.0,0.0,116.725
NI,2016-04-01,19.906,54.215,32.918,11.286,5.126,0.0,123.45100000000002
NI,2016-05-01,20.122,54.838,33.336,16.086,5.126,0.0,129.508
NI,2016-06-01,20.332,55.568,33.953,16.136,5.126,0.0,131.115
NI,2016-07-01,20.701,56.152,34.661,16.386,5.126,0.0,133.026
NI,2016-08-01,21.068,57.045,35.612,16.436,5.126,0.0,135.287
NI,2016-09-01,22.836,58.844,39.153,16.436,5.126,0.0,142.395
NI,2016-10-01,22.876,58.892,39.227,16.436,5.126,0.0,142.55700000000002
NI,2016-11-01,22.956,59.025,39.283,16.436,5.126,0.0,142.826
NI,2016-12-01,23.007,59.147,39.355,16.436,5.126,0.0,143.071
NI,2017-01-01,23.115,59.233,39.379,17.055,5.126,0.0,143.90800000000002
NI,2017-02-01,23.444,59.392,39.556,17.6,31.607,0.0,171.599
NI,2017-03-01,24.19,59.882,40.21,19.867,65.807,45.753,255.709
NI,2017-04-01,24.216,59.898,40.242,19.867,65.807,45.753,255.78299999999996
NI,2017-05-01,24.254,59.902,40.242,19.917,65.807,45.753,255.875
NI,2017-06-01,24.408,59.902,40.292,19.917,65.807,45.753,256.079
NI,2017-07-01,24.442,59.906,40.304,19.917,65.807,45.753,256.129
NI,2017-08-01,24.486,59.93,40.348,19.917,65.807,45.753,256.241
NI,2017-09-01,24.557,59.948,40.348,19.917,65.807,45.753,256.33
NI,2017-10-01,24.625,59.948,40.36,19.917,65.807,45.753,256.41
NI,2017-11-01,24.702,59.965,40.49,19.917,65.807,45.753,256.634
NI,2017-12-01,24.736,59.969,40.567,19.917,77.767,45.753,268.709
NI,2018-01-01,24.77,59.977,40.567,19.917,77.767,72.853,295.851
NI,2018-02-01,24.796,60.025,40.579,19.917,84.267,72.853,302.437
NI,2018-03-01,24.825,60.077,40.579,30.078,98.469,72.853,326.881
NI,2018-04-01,24.843,60.126,40.651,30.078,111.469,72.853,340.02000000000004
NI,2018-05-01,24.873,60.156,40.663,30.078,117.969,72.853,346.592
NI,2018-06-01,24.897,60.189,40.675,30.078,117.969,72.853,346.661
NI,2018-07-01,24.908,60.232,40.687,30.078,117.969,72.853,346.72700000000003
NI,2018-08-01,24.931,60.281,40.805,30.078,117.969,72.853,346.917
NI,2018-09-01,24.939,60.311,40.817,30.078,117.969,72.853,346.96700000000004
NI,2018-10-01,25.063,60.319,40.827,30.078,117.969,72.853,347.109
NI,2018-11-01,25.133,60.331,40.85,30.078,117.969,72.853,347.214
NI,2018-12-01,25.141,60.355,40.904,30.078,117.969,72.853,347.3
NI,2019-01-01,25.243,60.378,40.904,30.078,117.969,72.853,347.425
NI,2019-02-01,25.32,60.407,40.966,30.078,117.969,72.853,347.593
NI,2019-03-01,25.349,60.427,40.966,30.078,117.969,72.853,347.642
NI,2019-04-01,25.372,60.436,40.966,30.078,117.969,72.853,347.67400000000004
NI,2019-05-01,25.414,60.448,40.966,30.078,117.969,72.853,347.728
NI,2019-06-01,25.454,60.477,41.002,30.078,117.969,72.853,347.833
NI,2019-07-01,25.495,60.508,41.002,30.078,117.969,72.853,347.90500000000003
NI,2019-08-01,25.544,60.525,41.014,30.078,117.969,72.853,347.983
NI,2019-09-01,25.616,60.556,41.082,30.078,117.969,72.853,348.154
NI,2019-10-01,25.653,60.568,41.129,30.078,117.969,72.853,348.25
NI,2019-11-01,25.682,60.577,41.149,30.078,117.969,72.853,348.308
NI,2019-12-01,25.69,60.591,41.162,30.078,117.969,72.853,348.343
NI,2020-01-01,25.718,60.621,41.174,30.078,117.969,72.853,348.413
NI,2020-02-01,25.741,60.672,41.174,30.078,117.969,72.853,348.487
NI,2020-03-01,25.763,60.696,41.186,30.078,117.969,72.853,348.545
NI,2020-04-01,25.763,60.7,41.198,30.078,117.969,72.853,348.561
NI,2020-05-01,25.767,60.7,41.198,30.078,117.969,72.853,348.565
NI,2020-06-01,25.8,60.75,41.219,30.078,117.969,72.853,348.66900000000004
NI,2020-07-01,25.804,60.802,41.27,30.078,117.969,72.853,348.776
NI,2020-08-01,25.854,60.837,41.27,30.178,117.969,72.853,348.961
NI,2020-09-01,25.904,60.889,41.294,30.178,117.969,72.853,349.087
NI,2020-10-01,25.939,60.903,41.294,30.178,117.969,72.853,349.136
NI,2020-11-01,25.956,60.955,41.294,30.178,117.969,72.853,349.205
NI,2020-12-01,25.956,60.98,41.294,30.178,117.969,72.853,349.22999999999996
NI,2021-01-01,26.026,61.007,41.304,30.178,117.969,72.853,349.337
NI,2021-02-01,26.041,61.054,41.304,30.178,117.969,72.853,349.399
NI,2021-03-01,26.068,61.123,41.326,30.178,117.969,72.853,349.517
NI,2021-04-01,26.093,61.211,41.394,30.178,117.969,72.853,349.69800000000004
NI,2021-05-01,26.126,61.366,41.455,30.178,117.969,72.853,349.947
NI,2021-06-01,26.194,61.52,41.531,30.178,117.969,72.853,350.245
NI,2021-07-01,26.237,61.605,41.547,30.178,117.969,72.853,350.389
NI,2021-08-01,26.307,61.765,41.558,30.178,117.969,72.853,350.63
NI,2021-09-01,26.422,62.009,41.603,30.178,117.969,72.853,351.034
NI,2021-10-01,26.509,62.12,41.673,30.178,117.969,72.853,351.30199999999996
NI,2021-11-01,26.617,62.478,41.718,30.178,117.969,72.853,351.813
NI,2021-12-01,26.657,62.629,41.761,30.178,117.969,72.853,352.04699999999997
NI,2022-01-01,26.732,63.048,41.828,30.178,117.969,72.853,352.608
NI,2022-02-01,26.796,63.278,41.954,30.178,117.969,72.853,353.02799999999996
NI,2022-03-01,26.823,63.66,42.095,30.228,117.969,72.853,353.628
NI,2022-04-01,26.844,64.055,42.191,30.228,117.969,72.853,354.14000000000004
NI,2022-05-01,26.927,64.766,42.324,30.278,117.969,72.853,355.117
NI,2022-06-01,26.967,65.399,42.511,30.278,117.969,72.853,355.97700000000003
NI,2022-07-01,27.03,65.966,42.657,30.278,117.969,72.853,356.753
NI,2022-08-01,27.1,66.598,42.85,30.278,117.969,72.853,357.64799999999997
NI,2022-09-01,27.195,67.443,43.019,30.278,117.969,72.853,358.757
NI,2022-10-01,27.253,68.216,43.448,30.278,117.969,72.853,360.017
NI,2022-11-01,27.328,69.333,43.716,30.278,117.969,72.853,361.47700000000003
NI,2022-12-01,27.371,70.006,43.935,30.278,117.969,72.853,362.412
NI,2023-01-01,27.419,70.952,44.195,30.278,117.969,72.853,363.666
NI,2023-02-01,27.483,71.675,44.591,30.278,117.969,72.853,364.849
NI,2023-03-01,27.525,72.33,44.963,30.278,117.969,72.853,365.91799999999995
NI,2023-04-01,27.56,72.787,45.363,30.278,117.969,72.853,366.81
NI,2023-05-01,27.602,73.51,45.688,30.278,117.969,72.853,367.90000000000003
NI,2023-06-01,27.636,74.309,45.918,30.278,117.969,72.853,368.963
NI,2023-07-01,27.677,75.022,46.073,30.278,117.969,72.853,369.872
NI,2023-08-01,27.737,75.889,46.188,30.278,117.969,72.853,370.914
NI,2023-09-01,27.824,76.567,46.467,30.328,117.969,72.853,372.008
NI,2023-10-01,27.894,77.284,47.035,30.628,117.969,72.853,373.663
NI,2023-11-01,27.947,77.952,47.272,30.628,117.969,72.853,374.621
NI,2023-12-01,27.969,78.411,47.49,30.628,117.969,72.853,375.32
NI,2024-01-01,28.011,78.878,47.614,30.628,117.969,72.853,375.953
NI,2024-02-01,28.129,79.44,47.874,30.628,117.969,72.853,376.89300000000003
NI,2024-03-01,28.172,79.799,48.019,30.628,117.969,72.853,377.44
NI,2024-04-01,28.369,80.387,48.404,30.628,117.969,72.853,378.61
NI,2024-05-01,28.473,81.027,48.533,30.628,117.969,72.853,379.483
NI,2024-06-01,28.671,81.798,48.693,30.628,117.969,72.853,380.61199999999997
NI,2024-07-01,28.798,82.529,48.859,30.678,117.969,72.853,381.686
NI,2024-08-01,28.934,83.322,48.975,30.678,117.969,72.853,382.731
NI,2024-09-01,29.082,83.961,49.054,30.678,117.969,72.853,383.59700000000004
NI,2024-10-01,29.311,84.617,49.127,30.678,117.969,72.853,384.555
NI,2024-11-01,29.653,85.313,49.256,30.678,117.969,72.853,385.72200000000004
NI,2024-12-01,29.727,85.621,49.347,30.895,117.969,72.853,386.412
NI,2025-01-01,29.817,86.211,49.432,30.895,117.969,72.853,387.17699999999996
NI,2025-02-01,29.989,86.784,49.638,30.895,117.969,72.853,388.128
NI,2025-03-01,30.234,87.64,49.721,30.895,117.969,72.853,389.312
NI,2025-04-01,30.382,88.383,49.934,30.895,117.969,72.853,390.416
NI,2025-05-01,30.678,89.63,50.204,30.895,117.969,72.853,392.229
NI,2025-06-01,30.887,90.764,50.546,30.895,117.969,72.853,393.91400000000004
NI,2025-07-01,31.03,91.651,50.778,30.945,117.969,72.853,395.226
NI,2025-08-01,31.22,92.674,51.006,30.995,117.969,72.853,396.71700000000004
NI,2025-09-01,31.333,93.731,51.207,30.995,117.969,72.853,398.088
NI,2025-10-01,31.584,94.873,51.566,30.995,117.969,72.853,399.84000000000003
NI,2025-11-01,31.892,95.947,51.898,30.995,117.969,72.853,401.55400000000003
NI,2025-12-01,32.022,96.613,52.032,30.995,117.969,72.853,402.484
NI,2026-01-01,32.213,97.59,52.229,30.995,117.969,72.853,403.849
NI,2026-02-01,32.957,97.603,52.349,31.045,117.969,72.853,404.776
