region,date,between_0_and_4_kw,between_4_and_10_kw,between_10_and_50_kw,50_kw_<=_to_<_5_mw,between_5_and_25_mw,greater_than_25_mw,pre_2009_estimate,total,domestic,nan
UK,2010-01-01,8.336,3.153,2.65,1.133,0.0,0.0,14.6,29.872,10.222,
UK,2010-02-01,9.469,3.34,2.745,1.133,0.0,0.0,14.6,31.287,11.53,
UK,2010-03-01,11.361,3.616,3.111,1.133,0.0,0.0,14.6,33.821,13.822,
UK,2010-04-01,13.592,3.799,3.357,1.133,0.0,0.0,14.6,36.481,16.359,
UK,2010-05-01,17.041,4.131,3.712,1.301,0.0,0.0,14.6,40.785,20.379,
UK,2010-06-01,21.274,4.505,3.945,2.101,0.0,0.0,14.6,46.425,24.93,
UK,2010-07-01,26.466,4.907,4.095,2.251,0.0,0.0,14.6,52.319,30.547,
UK,2010-08-01,31.62,5.295,4.378,2.251,0.0,0.0,14.6,58.144,36.151,
UK,2010-09-01,38.287,5.702,4.827,2.251,0.0,0.0,14.6,65.66699999999999,43.376,
UK,2010-10-01,46.337,6.282,5.197,2.699,0.0,0.0,14.6,75.115,52.075,
UK,2010-11-01,55.654,6.882,5.691,2.75,0.0,0.0,14.6,85.577,62.179,
UK,2010-12-01,62.839,7.303,5.939,2.897,0.0,0.0,14.6,93.57799999999999,69.76,
UK,2011-01-01,72.679,8.116,6.494,2.897,0.0,0.0,14.6,104.786,80.492,
UK,2011-02-01,83.924,9.003,7.319,3.421,0.0,0.0,14.6,118.26700000000001,92.832,
UK,2011-03-01,100.823,10.376,8.15,4.238,0.0,0.0,14.6,138.187,111.121,
UK,2011-04-01,116.658,12.067,9.158,10.139,0.0,0.0,14.6,162.62199999999999,128.696,
UK,2011-05-01,135.487,14.049,10.382,11.798,0.0,0.0,14.6,186.316,150.148,
UK,2011-06-01,160.28,16.427,11.755,17.247,0.0,0.0,14.6,220.309,177.534,
UK,2011-07-01,189.069,19.641,15.018,139.826,0.0,0.0,14.6,378.154,211.24,
