region,date,between_0_and_4_kw,between_4_and_10_kw,between_10_and_50_kw,between_50kw_and_5_mw,between_5_and_25_mw,greater_than_25_mw,total
GB,1/01/2010,4202,484,139,17,0,0,4842
GB,1/02/2010,4757,514,145,17,0,0,5433
GB,1/03/2010,5723,559,161,17,0,0,6460
GB,1/04/2010,6729,589,172,17,0,0,7507
GB,1/05/2010,8182,643,190,19,0,0,9034
GB,1/06/2010,10024,704,202,21,0,0,10951
GB,1/07/2010,12267,773,211,23,0,0,13274
GB,1/08/2010,14477,840,225,23,0,0,15565
GB,1/09/2010,17237,919,252,23,0,0,18431
GB,1/10/2010,20581,1017,273,27,0,0,21898
GB,1/11/2010,24424,1114,298,28,0,0,25864
GB,1/12/2010,27391,1180,311,30,0,0,28912
GB,1/01/2011,31392,1313,338,30,0,0,33073
GB,1/02/2011,35895,1455,376,33,0,0,37759
GB,1/03/2011,42731,1676,415,36,0,0,44858
GB,1/04/2011,48787,1979,463,45,0,0,51274
GB,1/05/2011,55725,2339,517,57,0,0,58638
GB,1/06/2011,64759,2779,572,93,0,0,68203
GB,1/07/2011,75126,3408,688,304,0,0,79526
GB,1/08/2011,88147,4515,799,309,0,0,93770
GB,1/09/2011,103885,6119,945,325,0,0,111274
GB,1/10/2011,122089,8216,1092,353,0,0,131750
GB,1/11/2011,172218,14505,1869,371,0,0,188963
GB,1/12/2011,212254,19353,3345,430,0,0,235382
GB,1/01/2012,220176,19826,3390,432,1,0,243825
GB,1/02/2012,257164,25683,4565,496,1,0,287909
GB,1/03/2012,281336,27665,5409,544,1,0,314955
GB,1/04/2012,286303,28129,5478,550,1,0,320461
GB,1/05/2012,295067,29681,5640,564,1,0,330953
GB,1/06/2012,305640,32031,5954,600,1,0,344226
GB,1/07/2012,325003,37899,7251,811,1,0,370965
GB,1/08/2012,328456,38281,7312,832,1,0,374882
GB,1/09/2012,332749,39124,7401,849,1,0,380124
GB,1/10/2012,340622,41655,7702,895,1,0,390875
GB,1/11/2012,345369,42595,7806,912,1,0,396683
GB,1/12/2012,350178,43720,7927,933,1,0,402759
GB,1/01/2013,355249,44952,8066,955,1,0,409223
GB,1/02/2013,360506,46451,8306,984,7,0,416254
GB,1/03/2013,366335,48367,8637,1050,41,1,424431
GB,1/04/2013,372119,50598,8966,1168,41,1,432893
GB,1/05/2013,377846,53086,9268,1226,44,1,441471
GB,1/06/2013,385645,57156,10004,1344,51,1,454201
GB,1/07/2013,390465,58875,10174,1405,51,1,460971
GB,1/08/2013,395885,61005,10426,1480,54,1,468851
GB,1/09/2013,401498,63446,10695,1541,54,1,477235
GB,1/10/2013,407532,66130,10935,1589,54,1,486241
GB,1/11/2013,414249,69352,11194,1658,58,1,496512
GB,1/12/2013,419776,72067,11454,1765,60,1,505123
GB,1/01/2014,425255,74575,11696,1810,68,1,513405
GB,1/02/2014,431250,77326,11933,1873,72,2,522456
GB,1/03/2014,440410,82934,12791,2067,144,3,538349
GB,1/04/2014,445918,85465,12959,2102,145,4,546593
GB,1/05/2014,451747,88407,13190,2154,149,4,555651
GB,1/06/2014,458099,91760,13493,2294,154,4,565804
GB,1/07/2014,465456,95315,13785,2372,161,5,577094
GB,1/08/2014,472546,98670,14083,2444,162,5,587910
GB,1/09/2014,481170,102494,14422,2566,170,7,600829
GB,1/10/2014,490103,106577,14742,2681,175,9,614287
GB,1/11/2014,498289,110674,15075,2788,181,9,627016
GB,1/12/2014,506389,115166,15726,2945,190,11,640427
GB,1/01/2015,512683,117212,15870,3013,196,11,648985
GB,1/02/2015,520145,119897,16142,3075,206,11,659476
GB,1/03/2015,531293,124742,16634,3326,335,29,676359
GB,1/04/2015,539019,127632,16906,3402,335,29,687323
GB,1/05/2015,546989,130911,17181,3484,335,29,698929
GB,1/06/2015,558205,135781,17645,3707,336,29,715703
GB,1/07/2015,566503,138707,18007,3814,337,29,727397
GB,1/08/2015,574639,141712,18403,3926,341,29,739050
GB,1/09/2015,587712,146993,19256,4126,341,29,758457
GB,1/10/2015,599993,150878,19716,4286,344,29,775246
GB,1/11/2015,616015,155673,20442,4522,348,29,797029
GB,1/12/2015,633400,161662,22446,5178,356,29,823071
GB,1/01/2016,644414,164575,23388,5382,360,30,838149
GB,1/02/2016,647153,165008,23472,5440,362,30,841465
GB,1/03/2016,650404,165729,23660,5676,387,39,845895
GB,1/04/2016,653048,166320,23777,5702,388,39,849274
GB,1/05/2016,655776,166912,23894,5736,388,39,852745
GB,1/06/2016,658938,167645,24059,5794,396,39,856871
GB,1/07/2016,661446,168215,24214,5811,397,39,860122
GB,1/08/2016,663725,168767,24415,5837,399,39,863182
GB,1/09/2016,666539,169426,24713,5878,399,39,866994
GB,1/10/2016,668769,169879,24840,5906,400,39,869833
GB,1/11/2016,671548,170381,24985,5929,400,39,873282
GB,1/12/2016,673457,170847,25166,5968,405,39,875882
GB,1/01/2017,675477,171214,25250,5974,408,39,878362
GB,1/02/2017,677640,171600,25350,5997,409,39,881035
GB,1/03/2017,680396,172148,25553,6102,425,39,884663
GB,1/04/2017,682272,172542,25678,6122,425,39,887078
GB,1/05/2017,684821,173068,25829,6135,425,39,890317
GB,1/06/2017,687234,173677,26014,6158,425,39,893547
GB,1/07/2017,689371,174222,26170,6176,426,39,896404
GB,1/08/2017,691879,174727,26335,6200,426,39,899606
GB,1/09/2017,694379,175366,26534,6224,426,39,902968
GB,1/10/2017,696794,175926,26698,6239,427,39,906123
GB,1/11/2017,699738,176521,26894,6257,427,39,909876
GB,1/12/2017,701552,177006,27050,6265,427,39,912339
GB,1/01/2018,703753,177434,27215,6275,427,39,915143
GB,1/02/2018,705837,177907,27373,6283,427,39,917866
GB,1/03/2018,708291,178550,27595,6298,427,39,921200
GB,1/04/2018,710563,179127,27735,6312,427,39,924203
GB,1/05/2018,713104,179787,27887,6325,427,39,927569
GB,1/06/2018,715610,180549,28082,6336,427,39,931043
GB,1/07/2018,718033,181203,28265,6347,427,39,934314
GB,1/08/2018,720840,181892,28472,6367,427,39,938037
GB,1/09/2018,723620,182772,28654,6384,427,39,941896
GB,1/10/2018,726958,183589,28870,6396,428,39,946280
GB,1/11/2018,730466,184686,29083,6422,428,39,951124
GB,1/12/2018,733226,185700,29312,6453,429,39,955159
GB,1/01/2019,736943,186718,29581,6464,430,40,960176
GB,1/02/2019,741026,188255,29984,6478,430,40,966213
GB,1/03/2019,750622,192070,31579,6514,430,40,981255
GB,1/04/2019,752478,192219,31650,6530,430,40,983347
GB,1/05/2019,754795,192470,31719,6536,430,40,985990
GB,1/06/2019,757235,192789,31815,6545,430,40,988854
GB,1/07/2019,759582,193242,31923,6555,431,40,991773
GB,1/08/2019,762059,193700,32060,6570,431,40,994860
GB,1/09/2019,764650,194340,32196,6585,432,40,998243
GB,1/10/2019,767299,195107,32335,6595,432,40,1001808
GB,1/11/2019,770125,195764,32489,6600,432,40,1005450
GB,1/12/2019,771985,196284,32600,6606,432,41,1007948
GB,1/01/2020,774327,196935,32758,6616,434,41,1011111
GB,1/02/2020,776543,197604,32918,6621,435,41,1014162
GB,1/03/2020,778811,198349,33133,6638,435,41,1017407
GB,1/04/2020,779140,198631,33184,6646,435,41,1018077
GB,1/05/2020,779691,199107,33235,6649,436,41,1019159
GB,1/06/2020,781071,199983,33357,6652,436,41,1021540
GB,1/07/2020,783263,200925,33502,6659,436,41,1024826
GB,1/08/2020,785498,201786,33616,6671,437,42,1028050
GB,1/09/2020,788327,202883,33787,6681,437,42,1032157
GB,1/10/2020,791015,203995,33961,6685,437,42,1036135
GB,1/11/2020,793996,205155,34150,6689,437,42,1040469
GB,1/12/2020,796136,206015,34289,6698,438,42,1043618
GB,1/01/2021,798721,206923,34428,6704,439,43,1047258
GB,1/02/2021,801134,207914,34590,6709,439,43,1050829
GB,1/03/2021,804391,209378,34819,6717,440,45,1055790
GB,1/04/2021,807786,210768,35000,6723,440,46,1060763
GB,1/05/2021,811228,212161,35178,6729,441,46,1065783
GB,1/06/2021,814681,213726,35345,6738,443,46,1070979
GB,1/07/2021,817833,215218,35569,6749,443,46,1075858
GB,1/08/2021,821261,216578,35817,6756,443,46,1080901
GB,1/09/2021,825045,218410,36055,6773,443,46,1086772
GB,1/10/2021,828565,220187,36302,6787,443,47,1092331
GB,1/11/2021,833029,222439,36605,6803,443,47,1099366
GB,1/12/2021,836313,224117,36771,6817,443,47,1104508
GB,1/01/2022,840023,226218,36994,6834,446,47,1110562
GB,1/02/2022,844780,228702,37236,6848,446,47,1118059
GB,1/03/2022,851046,232114,37607,6865,447,47,1128126
GB,1/04/2022,856907,235772,37886,6883,447,48,1137943
GB,1/05/2022,863157,240229,38258,6903,447,48,1149042
GB,1/06/2022,869729,244728,38607,6925,447,48,1160484
GB,1/07/2022,875602,249675,38972,6939,448,48,1171684
GB,1/08/2022,882055,255200,39362,6952,448,48,1184065
GB,1/09/2022,889634,261694,39771,6970,449,48,1198566
GB,1/10/2022,896400,268718,40209,7000,449,48,1212824
GB,1/11/2022,903922,276924,40737,7025,449,48,1229105
GB,1/12/2022,909529,283237,41142,7045,450,49,1241452
GB,1/01/2023,916676,292020,41677,7072,453,50,1257948
GB,1/02/2023,924435,301228,42380,7098,454,51,1275646
GB,1/03/2023,933285,311680,43184,7153,457,53,1295812
GB,1/04/2023,940188,320122,43901,7194,458,53,1311916
GB,1/05/2023,947835,329688,44803,7246,458,53,1330083
GB,1/06/2023,955937,339157,45784,7304,458,53,1348693
GB,1/07/2023,962940,347149,46632,7350,458,53,1364582
GB,1/08/2023,969854,355429,47466,7401,458,53,1380661
GB,1/09/2023,976833,363277,48386,7450,459,54,1396459
GB,1/10/2023,983742,371111,49194,7493,463,54,1412057
GB,1/11/2023,991245,378824,50018,7534,464,54,1428139
GB,1/12/2023,995893,383865,50537,7557,464,54,1438370
GB,1/01/2024,1002212,390024,51292,7592,468,60,1451648
GB,1/02/2024,1008992,396489,51967,7629,468,62,1465607
GB,1/03/2024,1016731,403048,52739,7669,473,64,1480724
GB,1/04/2024,1024265,410100,53541,7711,476,66,1496159
GB,1/05/2024,1032458,417108,54486,7755,476,68,1512351
GB,1/06/2024,1040930,423435,55370,7786,478,70,1528069
GB,1/07/2024,1049489,430287,56334,7832,478,72,1544492
GB,1/08/2024,1058065,436305,57247,7869,478,72,1560036
GB,1/09/2024,1067865,442710,58131,7892,478,72,1577148
GB,1/10/2024,1079658,449914,59074,7922,479,78,1597125
GB,1/11/2024,1092927,456702,60041,7961,479,79,1618189
GB,1/12/2024,1101480,461589,60722,7981,481,80,1632333
GB,1/01/2025,1111975,467735,61663,8004,484,85,1649946
GB,1/02/2025,1124291,474730,62749,8039,485,87,1670381
GB,1/03/2025,1139449,482974,63968,8067,485,90,1695033
GB,1/04/2025,1151069,490576,65158,8092,485,93,1715473
GB,1/05/2025,1164605,498845,66490,8135,485,95,1738655
GB,1/06/2025,1178658,507129,67775,8170,487,97,1762316
GB,1/07/2025,1191243,516071,69156,8209,487,100,1785266
GB,1/08/2025,1202489,523986,70403,8244,488,102,1805712
GB,1/09/2025,1216001,532986,71834,8287,488,104,1829700
GB,1/10/2025,1231407,542351,73219,8335,489,106,1855907
GB,1/11/2025,1245832,550538,74442,8365,489,106,1879772
GB,1/12/2025,1257128,556495,75528,8384,489,106,1898130
GB,1/01/2026,1268858,563006,76727,8401,489,107,1917588
GB,1/02/2026,1284777,568048,77784,8422,489,107,1939627
