region,date,between_0_and_4_kw,between_4_and_10_kw,between_10_and_50_kw,between_50kw_and_5_mw,between_5_and_25_mw,greater_than_25_mw,total,domestic
UK,2010-01-01,4338,584,153,17,0,0,5092,4454
UK,2010-02-01,4893,614,159,17,0,0,5683,5031
UK,2010-03-01,5866,659,176,17,0,0,6718,6038
UK,2010-04-01,6885,689,187,17,0,0,7778,7074
UK,2010-05-01,8340,743,205,19,0,0,9307,8576
UK,2010-06-01,10197,804,218,21,0,0,11240,10453
UK,2010-07-01,12442,873,228,23,0,0,13566,12728
UK,2010-08-01,14654,940,242,23,0,0,15859,14976
UK,2010-09-01,17415,1019,269,23,0,0,18726,17796
UK,2010-10-01,20763,1118,290,27,0,0,22198,21220
UK,2010-11-01,24625,1215,315,28,0,0,26183,25130
UK,2010-12-01,27597,1282,328,30,0,0,29237,28127
UK,2011-01-01,31598,1415,355,30,0,0,33398,32191
UK,2011-02-01,36102,1558,393,33,0,0,38086,36790
UK,2011-03-01,42948,1780,432,36,0,0,45196,43745
UK,2011-04-01,49006,2084,480,45,0,0,51615,49989
UK,2011-05-01,55952,2449,534,57,0,0,58992,57190
UK,2011-06-01,64988,2895,589,93,0,0,68565,66508
UK,2011-07-01,75356,3527,705,304,0,0,79892,77415
UK,2011-08-01,88383,4637,816,309,0,0,94145,91361
UK,2011-09-01,104144,6244,962,325,0,0,111675,108550
UK,2011-10-01,122362,8350,1110,353,0,0,132175,128648
UK,2011-11-01,172517,14649,1887,371,0,0,189424,184293
UK,2011-12-01,212571,19516,3364,430,0,0,235881,228592
UK,2012-01-01,220555,20008,3409,432,1,0,244405,237030
UK,2012-02-01,257558,25870,4586,496,1,0,288511,279429
UK,2012-03-01,281777,27859,5432,544,1,0,315613,305522
UK,2012-04-01,286756,28332,5502,550,1,0,321141,310908
UK,2012-05-01,295532,29896,5664,564,1,0,331657,321163
UK,2012-06-01,306112,32251,5978,600,1,0,344942,334031
UK,2012-07-01,325503,38134,7275,811,1,0,371724,359447
UK,2012-08-01,329026,38557,7340,832,1,0,375756,363387
UK,2012-09-01,333420,39445,7432,849,1,0,381147,368662
UK,2012-10-01,341351,42061,7740,896,1,0,392049,379202
UK,2012-11-01,346153,43094,7855,914,1,0,398017,385071
UK,2012-12-01,351004,44297,7981,935,1,0,404218,391150
UK,2013-01-01,356174,45630,8126,957,1,0,410888,397665
UK,2013-02-01,361517,47217,8370,986,7,0,418097,404652
UK,2013-03-01,367395,49256,8706,1052,41,1,426451,412640
UK,2013-04-01,373212,51605,9040,1170,41,1,435069,420895
UK,2013-05-01,379012,54228,9357,1228,44,1,443870,429350
UK,2013-06-01,386841,58429,10116,1346,51,1,456784,441566
UK,2013-07-01,391726,60357,10306,1407,51,1,463848,448394
UK,2013-08-01,397277,62776,10604,1482,54,1,472194,456464
UK,2013-09-01,402999,65587,10895,1543,54,1,481079,465074
UK,2013-10-01,409136,68593,11160,1591,54,1,490535,474285
UK,2013-11-01,415937,72182,11466,1664,58,1,501308,484793
UK,2013-12-01,421609,75166,11760,1771,60,1,510367,493566
UK,2014-01-01,427148,78027,12057,1819,68,1,519120,502081
UK,2014-02-01,433229,81783,12500,1887,72,2,529473,512175
UK,2014-03-01,442505,87633,13379,2084,144,3,545748,527583
UK,2014-04-01,448137,90402,13573,2119,145,4,554380,536049
UK,2014-05-01,454139,93619,13847,2178,149,4,563936,545355
UK,2014-06-01,460684,97265,14185,2323,154,4,574615,555632
UK,2014-07-01,468240,101072,14505,2409,161,5,586392,567097
UK,2014-08-01,475548,104706,14824,2483,162,5,597728,578104
UK,2014-09-01,484366,108867,15204,2606,170,7,611220,591123
UK,2014-10-01,493474,113289,15556,2725,175,9,625228,604710
UK,2014-11-01,501887,117681,15927,2833,181,9,638518,617625
UK,2014-12-01,510127,122415,16615,2994,190,11,652352,630898
UK,2015-01-01,516543,124678,16822,3067,196,11,661317,639640
UK,2015-02-01,524132,127622,17193,3129,206,11,672293,650358
UK,2015-03-01,535402,132724,17827,3387,335,29,689704,666805
UK,2015-04-01,543244,135881,18153,3466,335,29,701108,677872
UK,2015-05-01,551368,139432,18477,3555,335,29,713196,689623
UK,2015-06-01,562747,144577,19005,3781,336,29,730475,706289
UK,2015-07-01,571223,147777,19405,3892,337,29,742663,718044
UK,2015-08-01,579601,151242,19898,4018,341,29,755129,730040
UK,2015-09-01,593043,157494,21017,4233,341,29,776157,750065
UK,2015-10-01,605498,161515,21495,4396,344,29,793277,766553
UK,2015-11-01,621742,166439,22238,4632,348,29,815428,786746
UK,2015-12-01,639358,172536,24255,5289,356,29,841823,810030
UK,2016-01-01,650629,175572,25213,5493,360,30,857297,823392
UK,2016-02-01,653631,176109,25310,5552,362,30,860994,826272
