date,notes,region_code,region,metric,value
2025-01-01,[note 4],K02000001,United Kingdom,EV chargers,102771.0
2025-01-01,[note 4],K02000001,United Kingdom,50kW+ EV chargers,22997.0
2025-01-01,[note 4],K02000001,United Kingdom,EV chargers per 100k,148.338435878575
2025-01-01,[note 4],K02000001,United Kingdom,50kW+ EV chargers per 100k,33.1935955658656
2025-01-01,[note 4],K03000001,Great Britain,EV chargers,101738.0
2025-01-01,[note 4],K03000001,Great Britain,50kW+ EV chargers,22743.0
2025-01-01,[note 4],K03000001,Great Britain,EV chargers per 100k,151.05061524419
2025-01-01,[note 4],K03000001,Great Britain,50kW+ EV chargers per 100k,33.7665782942324
2025-01-01,[note 4],E92000001,England,EV chargers,86085.0
2025-01-01,[note 4],E92000001,England,50kW+ EV chargers,19031.0
2025-01-01,[note 4],E92000001,England,EV chargers per 100k,146.852357009757
2025-01-01,[note 4],E92000001,England,50kW+ EV chargers per 100k,32.4649730644442
2025-01-01,[note 4],E12000001,North East,EV chargers,3504.0
2025-01-01,[note 4],E12000001,North East,50kW+ EV chargers,693.0
2025-01-01,[note 4],E12000001,North East,EV chargers per 100k,126.925342252881
2025-01-01,[note 4],E12000001,North East,50kW+ EV chargers per 100k,25.1025291613147
2025-01-01,[note 4],E12000002,North West,EV chargers,7271.0
2025-01-01,[note 4],E12000002,North West,50kW+ EV chargers,2263.0
2025-01-01,[note 4],E12000002,North West,EV chargers per 100k,93.9719653103737
2025-01-01,[note 4],E12000002,North West,50kW+ EV chargers per 100k,29.2474979366491
2025-01-01,[note 4],E12000003,Yorkshire and The Humber,EV chargers,5720.0
2025-01-01,[note 4],E12000003,Yorkshire and The Humber,50kW+ EV chargers,1712.0
2025-01-01,[note 4],E12000003,Yorkshire and The Humber,EV chargers per 100k,100.829161203618
2025-01-01,[note 4],E12000003,Yorkshire and The Humber,50kW+ EV chargers per 100k,30.1782384581458
2025-01-01,[note 4],E12000004,East Midlands,EV chargers,5505.0
2025-01-01,[note 4],E12000004,East Midlands,50kW+ EV chargers,1769.0
2025-01-01,[note 4],E12000004,East Midlands,EV chargers per 100k,108.726480121916
2025-01-01,[note 4],E12000004,East Midlands,50kW+ EV chargers per 100k,34.9386273089317
2025-01-01,[note 4],E12000005,West Midlands,EV chargers,8689.0
2025-01-01,[note 4],E12000005,West Midlands,50kW+ EV chargers,2357.0
2025-01-01,[note 4],E12000005,West Midlands,EV chargers per 100k,140.435001011766
2025-01-01,[note 4],E12000005,West Midlands,50kW+ EV chargers per 100k,38.0947516842826
2025-01-01,[note 4],E12000006,East of England,EV chargers,8249.0
2025-01-01,[note 4],E12000006,East of England,50kW+ EV chargers,2357.0
2025-01-01,[note 4],E12000006,East of England,EV chargers per 100k,125.435160711804
2025-01-01,[note 4],E12000006,East of England,50kW+ EV chargers per 100k,35.8407896469538
2025-01-01,[note 4],E12000007,London,EV chargers,25474.0
