"week_date","ulsp_price","ulsd_price"
"2018-01-01","120.19","123.51"
"2018-01-08","120.52","123.97"
"2018-01-15","120.96","124.58"
"2018-01-22","121.5","125.07"
"2018-01-29","121.69","125.32"
"2018-02-05","121.73","125.36"
"2018-02-12","121.58","125.02"
"2018-02-19","120.52","124.18"
"2018-02-26","119.55","123.09"
"2018-03-05","119.29","122.92"
"2018-03-12","119.11","122.96"
"2018-03-19","119.17","122.84"
"2018-03-26","119.23","122.9"
"2018-04-02","119.43","123.05"
"2018-04-09","119.96","123.58"
"2018-04-16","120.56","124.29"
"2018-04-23","121.44","125.39"
"2018-04-30","122.22","126.01"
"2018-05-07","123.27","126.99"
"2018-05-14","124.32","128.28"
"2018-05-21","125.93","130.04"
"2018-05-28","127.58","131.66"
"2018-06-04","128.43","132.34"
"2018-06-11","128.61","132.62"
"2018-06-18","127.92","131.98"
"2018-06-25","127.18","131.27"
"2018-07-02","126.54","130.83"
"2018-07-09","126.97","131.53"
"2018-07-16","127.47","131.85"
"2018-07-23","127.5","131.9"
"2018-07-30","127.54","131.94"
"2018-08-06","128.02","132.39"
"2018-08-13","128.39","132.56"
"2018-08-20","128.79","132.97"
"2018-08-27","129.18","133.2"
"2018-09-03","129.76","133.67"
"2018-09-10","130.24","134.31"
"2018-09-17","130.59","134.57"
"2018-09-24","130.59","134.77"
"2018-10-01","129.98","134.86"
"2018-10-08","130.15","135.53"
"2018-10-15","130.81","136.63"
"2018-10-22","130.98","136.93"
"2018-10-29","130.64","136.99"
"2018-11-05","130.11","137.03"
"2018-11-12","128.94","137.08"
"2018-11-19","127.4","136.38"
"2018-11-26","125.77","135.43"
"2018-12-03","124.3","134.38"
"2018-12-10","122.37","132.5"
"2018-12-17","121.02","131.26"
"2018-12-24","120.61","130.91"
"2018-12-31","120.18","130.26"
"2019-01-07","120.27","130.33"
"2019-01-14","119.53","129.47"
"2019-01-21","119.12","128.92"
"2019-01-28","119.29","129.1"
"2019-02-04","119.13","129.13"
"2019-02-11","118.97","129.17"
"2019-02-18","119.05","129.23"
"2019-02-25","119.22","129.66"
"2019-03-04","119.72","130.25"
"2019-03-11","120.1","130.59"
"2019-03-18","120.48","130.85"
"2019-03-25","120.83","131.15"
"2019-04-01","121.7","131.48"
"2019-04-08","122.75","132.08"
"2019-04-15","124.06","132.96"
"2019-04-22","125.43","133.99"
"2019-04-29","126.36","134.6"
"2019-05-06","127.5","135.41"
"2019-05-13","127.97","135.36"
"2019-05-20","128.51","135.82"
"2019-05-27","129.14","136.45"
"2019-06-03","129.41","136.39"
"2019-06-10","128.89","135.4"
"2019-06-17","127.66","133.76"
"2019-06-24","126.66","131.81"
"2019-07-01","126.49","131.55"
"2019-07-08","126.86","131.68"
"2019-07-15","127.13","131.86"
"2019-07-22","127.81","132.21"
"2019-07-29","128.03","132.6"
"2019-08-05","128.37","132.61"
"2019-08-12","128.36","132.59"
"2019-08-19","128.17","132.6"
"2019-08-26","128.22","132.51"
"2019-09-02","127.86","132.29"
"2019-09-09","127.79","131.89"
"2019-09-16","126.92","131.35"
"2019-09-23","126.78","131.52"
"2019-09-30","126.92","131.83"
"2019-10-07","126.87","131.82"
"2019-10-14","126.91","131.89"
"2019-10-21","126.4","131.28"
"2019-10-28","125.77","130.6"
"2019-11-04","125.56","130.38"
"2019-11-11","125.59","130.42"
"2019-11-18","125.58","130.35"
"2019-11-25","125.32","130.08"
"2019-12-02","124.81","129.79"
"2019-12-09","124.75","129.79"
"2019-12-16","124.33","129.56"
"2019-12-23","124.16","129.81"
"2019-12-30","124.96","130.54"
"2020-01-06","126.09","131.56"
"2020-01-13","127.17","132.69"
"2020-01-20","127.18","132.74"
"2020-01-27","127.33","132.88"
"2020-02-03","125.85","131.48"
"2020-02-10","124.73","129.7"
"2020-02-17","123.8","128.2"
"2020-02-24","123.45","127.67"
"2020-03-02","122.43","126.62"
"2020-03-09","122.24","126.25"
"2020-03-16","120.33","124.36"
"2020-03-23","119.64","123.41"
"2020-03-30","112.45","118.6"
"2020-04-06","110.23","116.83"
"2020-04-13","109.27","116.15"
"2020-04-20","108.63","115.73"
"2020-04-27","107.88","115.22"
"2020-05-04","107.56","114.94"
"2020-05-11","107.45","114.83"
"2020-05-18","105.09","112.22"
"2020-05-25","104.87","111.7"
"2020-06-01","105.17","111.76"
"2020-06-08","105.74","111.98"
"2020-06-15","106.37","112.53"
"2020-06-22","107.13","112.98"
"2020-06-29","108.31","114.1"
"2020-07-06","109.43","115.05"
"2020-07-13","111.24","116.75"
"2020-07-20","112.23","117.35"
"2020-07-27","112.66","117.76"
"2020-08-03","112.91","117.97"
"2020-08-10","113.02","118.01"
"2020-08-17","113.04","118"
"2020-08-24","113.22","118.14"
"2020-08-31","113.29","118.18"
"2020-09-07","113.37","118.22"
"2020-09-14","113.32","118.18"
"2020-09-21","113.31","118.16"
"2020-09-28","113.3","118.14"
"2020-10-05","113.26","118.11"
"2020-10-12","113.19","118.05"
"2020-10-19","113.18","118.08"
"2020-10-26","113.14","118.08"
"2020-11-02","113.11","118.06"
"2020-11-09","112.5","117.28"
"2020-11-16","112.35","117.07"
"2020-11-23","112.42","117.13"
"2020-11-30","112.61","117.41"
"2020-12-07","113.17","117.99"
"2020-12-14","113.82","118.57"
"2020-12-21","114.43","119.17"
"2020-12-28","114.91","119.65"
"2021-01-04","115.39","119.97"
"2021-01-11","116.14","120.61"
"2021-01-18","116.93","121.52"
"2021-01-25","118.1","122.7"
"2021-02-01","119.14","123.7"
"2021-02-08","119.67","124.09"
"2021-02-15","120.53","125.01"
"2021-02-22","121.27","125.71"
"2021-03-01","122.17","126.62"
"2021-03-08","122.94","127.4"
"2021-03-15","123.9","128.24"
"2021-03-22","124.57","129.02"
"2021-03-29","125.13","129.32"
"2021-04-05","125.24","129.35"
"2021-04-12","125.4","129.39"
"2021-04-19","125.48","129.49"
"2021-04-26","125.8","129.77"
"2021-05-03","126.09","130"
"2021-05-10","126.53","130.43"
"2021-05-17","127.19","131.03"
"2021-05-24","127.89","131.52"
"2021-05-31","128.15","131.82"
"2021-06-07","128.69","132.38"
"2021-06-14","129.47","133.17"
"2021-06-21","130.1","133.69"
"2021-06-28","130.73","134.27"
"2021-07-05","131.7","134.13"
"2021-07-12","132.47","135.29"
"2021-07-19","133.2","135.95"
"2021-07-26","133.48","136.2"
"2021-08-02","134.21","136.89"
"2021-08-09","134.7","137.31"
"2021-08-16","134.77","136.77"
"2021-08-23","134.68","137.15"
"2021-08-30","134.66","137.11"
"2021-09-06","134.76","137.19"
"2021-09-13","134.75","137.19"
"2021-09-20","134.86","137.35"
"2021-09-27","135.19","137.95"
"2021-10-04","136.1","139.2"
"2021-10-11","137.17","140.66"
"2021-10-18","139.46","143.19"
"2021-10-25","141.81","145.9"
"2021-11-01","143.7","147.48"
"2021-11-08","144.9","148.84"
"2021-11-15","145.87","149.76"
"2021-11-22","146.89","150.73"
"2021-11-29","147.53","151.31"
"2021-12-06","146.89","150.61"
"2021-12-13","146.22","149.88"
"2021-12-20","145.16","148.89"
"2021-12-27","144.92","148.82"
"2022-01-03","145.04","148.85"
"2022-01-10","144.82","148.65"
"2022-01-17","144.8","148.7"
"2022-01-24","144.87","148.81"
"2022-01-31","145.74","149.68"
"2022-02-07","146.33","150.3"
"2022-02-14","146.95","151.1"
"2022-02-21","147.77","151.95"
"2022-02-28","149.22","153.36"
"2022-03-07","152.95","158.56"
"2022-03-14","159.96","169.48"
"2022-03-21","165.37","177.47"
"2022-03-28","162.65","176.44"
"2022-04-04","161.91","176"
"2022-04-11","161.78","176.22"
"2022-04-18","161.67","175.93"
"2022-04-25","161.84","176.33"
"2022-05-02","162.48","177.06"
"2022-05-09","163.68","178.39"
"2022-05-16","165.09","179.67"
"2022-05-23","167.59","181.16"
"2022-05-30","170.36","182.25"
"2022-06-06","174.99","184.94"
"2022-06-13","182.53","190.43"
"2022-06-20","186.85","194.87"
"2022-06-27","190.93","198.93"
"2022-07-04","191.55","199.22"
"2022-07-11","190.63","198.74"
"2022-07-18","188.92","197.53"
"2022-07-25","186.6","195.88"
"2022-08-01","182.77","193.04"
"2022-08-08","177.64","188.49"
"2022-08-15","174.19","185.16"
"2022-08-22","171.14","182.92"
"2022-08-29","170.12","183.2"
"2022-09-05","168.93","182.82"
"2022-09-12","167.61","182.22"
"2022-09-19","165.47","181.13"
"2022-09-26","164","180.46"
"2022-10-03","162.67","180.04"
"2022-10-10","162.09","180.76"
"2022-10-17","162.81","181.86"
"2022-10-24","164.62","187.3"
"2022-10-31","165.87","189.77"
"2022-11-07","165.62","189.79"
"2022-11-14","164.4","188.85"
"2022-11-21","163.28","187.57"
"2022-11-28","161.13","185.57"
"2022-12-05","159.2","183.56"
"2022-12-12","155.97","179.91"
"2022-12-19","154.07","177.62"
"2022-12-26","151.94","175.52"
"2023-01-02","150.9","174.16"
"2023-01-09","149.97","173.16"
"2023-01-16","148.79","171.64"
"2023-01-23","148.21","170.86"
"2023-01-30","148.18","170.56"
"2023-02-06","148.34","170.36"
"2023-02-13","147.98","169.66"
"2023-02-20","147.86","169.3"
"2023-02-27","147.55","168.56"
"2023-03-06","147.12","167.33"
"2023-03-13","146.97","167.04"
"2023-03-20","146.62","166.26"
"2023-03-27","146.21","165.18"
"2023-04-03","145.72","163.71"
"2023-04-10","145.82","162.71"
"2023-04-17","145.93","162.11"
"2023-04-24","145.84","161.34"
"2023-05-01","145.71","160.35"
"2023-05-08","145.3","158.12"
"2023-05-15","144.65","155.53"
"2023-05-22","143.64","151.59"
"2023-05-29","142.94","147.87"
"2023-06-05","142.9","146.43"
"2023-06-12","142.71","145.48"
"2023-06-19","142.95","145.2"
"2023-06-26","143.43","145.65"
"2023-07-03","143.4","145.52"
"2023-07-10","142.87","144.73"
"2023-07-17","142.77","144.64"
"2023-07-24","142.96","145.13"
"2023-07-31","144.13","145.95"
"2023-08-07","146.18","148.23"
"2023-08-14","147.77","150.37"
"2023-08-21","149.4","152.14"
"2023-08-28","150.73","153.52"
"2023-09-04","151.71","154.65"
"2023-09-11","153.1","156.15"
"2023-09-18","154.06","158.16"
"2023-09-25","155.41","160.61"
"2023-10-02","156.02","162.15"
"2023-10-09","155.94","162.49"
"2023-10-16","155.09","162.31"
"2023-10-23","154.63","162.19"
"2023-10-30","153.97","161.76"
"2023-11-06","153.2","160.86"
"2023-11-13","152.39","160.39"
"2023-11-20","150.5","158.44"
"2023-11-27","147.99","156.18"
"2023-12-04","145.71","154.1"
"2023-12-11","143.8","152.01"
"2023-12-18","141.51","150.38"
"2023-12-25","140.33","149.24"
"2024-01-01","140.78","148.66"
"2024-01-08","139.72","148.21"
"2024-01-15","139.49","147.93"
"2024-01-22","139.39","147.96"
"2024-01-29","139.91","148.56"
"2024-02-05","140.55","149.35"
"2024-02-12","141.28","150.28"
"2024-02-19","142.86","152.08"
"2024-02-26","143.96","153.29"
"2024-03-04","144.73","154.53"
"2024-03-11","144.7","154.29"
"2024-03-18","144.73","153.81"
"2024-03-25","145.06","153.9"
"2024-04-01","146.25","156"
"2024-04-08","146.91","156.29"
"2024-04-15","148.49","157.46"
"2024-04-22","149.21","157.98"
"2024-04-29","149.49","157.98"
"2024-05-06","149.54","157.64"
"2024-05-13","149.23","157.08"
"2024-05-20","148.83","156.21"
"2024-05-27","147.65","154.3"
"2024-06-03","147.27","153.26"
"2024-06-10","146.25","151.99"
"2024-06-17","145.09","150.7"
"2024-06-24","144.43","150.12"
"2024-07-01","144.28","150.06"
"2024-07-08","144.45","150.39"
"2024-07-15","144.6","150.56"
"2024-07-22","144.69","150.59"
"2024-07-29","144.19","150.16"
"2024-08-05","143.42","149.1"
"2024-08-12","142.91","148.48"
"2024-08-19","141.96","147.42"
"2024-08-26","141.01","146.15"
"2024-09-02","139.96","145.19"
"2024-09-09","138.1","143.4"
"2024-09-16","136.49","141.61"
"2024-09-23","135.26","140.02"
"2024-09-30","134.17","138.85"
"2024-10-07","133.59","138.46"
"2024-10-14","133.86","139.08"
"2024-10-21","133.99","139.26"
"2024-10-28","134.41","139.71"
"2024-11-04","134.41","139.84"
"2024-11-11","134.59","140.13"
"2024-11-18","134.85","140.49"
"2024-11-25","135.37","141.4"
"2024-12-02","135.93","142.04"
"2024-12-09","136.23","142.49"
"2024-12-16","136.39","142.71"
"2024-12-23","136.39","142.85"
"2024-12-30","136.49","142.98"
"2025-01-06","136.6","143.3"
"2025-01-13","136.51","143.33"
"2025-01-20","136.97","144.27"
"2025-01-27","138.36","145.57"
"2025-02-03","138.74","146.13"
"2025-02-10","139.02","146.29"
"2025-02-17","139.22","146.45"
"2025-02-24","139.62","146.82"
"2025-03-03","139.61","146.88"
"2025-03-10","139.42","146.58"
"2025-03-17","137.97","145.38"
"2025-03-24","135.61","143.07"
"2025-03-31","134.91","142.26"
"2025-04-07","135.25","142.54"
"2025-04-14","134.85","141.97"
"2025-04-21","134.26","141.44"
"2025-04-28","133.84","140.81"
"2025-05-05","133.18","140.06"
"2025-05-12","132.32","139.2"
"2025-05-19","132.07","138.57"
"2025-05-26","131.99","138.37"
"2025-06-02","131.45","138.09"
"2025-06-09","131.35","137.54"
"2025-06-16","131.39","137.54"
"2025-06-23","132.33","139.03"
